Date,Open,High,Low,Close,Adj Close,Volume,Log RS,Log N
2021-09-09,7e-06,8e-06,7e-06,7e-06,7e-06,784078100,1.4804556512855356,2.302585092994046
2021-09-10,7e-06,8e-06,7e-06,7e-06,7e-06,423733163,1.4674195597115294,2.3978952727983707
2021-09-11,7e-06,7e-06,7e-06,7e-06,7e-06,229243568,1.555407934540578,2.4849066497880004
2021-09-12,7e-06,7e-06,7e-06,7e-06,7e-06,243064232,1.5060932000046787,2.5649493574615367
2021-09-13,7e-06,7e-06,6e-06,7e-06,7e-06,312789256,1.6069639545262036,2.6390573296152584
2021-09-14,7e-06,7e-06,6e-06,7e-06,7e-06,184111151,1.833369879928987,2.70805020110221
2021-09-15,7e-06,7e-06,7e-06,7e-06,7e-06,203289266,,
2021-09-16,7e-06,9e-06,7e-06,9e-06,9e-06,1624140154,,
2021-09-17,9e-06,9e-06,8e-06,8e-06,8e-06,1663423890,,
2021-09-18,8e-06,9e-06,8e-06,8e-06,8e-06,495513218,,
2021-09-19,8e-06,8e-06,7e-06,8e-06,8e-06,572892039,,
2021-09-20,8e-06,8e-06,7e-06,7e-06,7e-06,586521394,,
2021-09-21,7e-06,7e-06,7e-06,7e-06,7e-06,382463972,,
2021-09-22,7e-06,7e-06,7e-06,7e-06,7e-06,280642205,,
2021-09-23,7e-06,8e-06,7e-06,8e-06,8e-06,370820478,,
2021-09-24,8e-06,8e-06,7e-06,7e-06,7e-06,456964069,,
2021-09-25,7e-06,8e-06,7e-06,7e-06,7e-06,227277343,,
2021-09-26,7e-06,7e-06,7e-06,7e-06,7e-06,257921523,,
2021-09-27,7e-06,7e-06,7e-06,7e-06,7e-06,207040951,,
2021-09-28,7e-06,7e-06,7e-06,7e-06,7e-06,229379215,,
2021-09-29,7e-06,7e-06,7e-06,7e-06,7e-06,193035725,,
2021-09-30,7e-06,7e-06,7e-06,7e-06,7e-06,308553065,,
2021-10-01,7e-06,8e-06,7e-06,8e-06,8e-06,316837935,,
2021-10-02,8e-06,8e-06,7e-06,8e-06,8e-06,320232218,,
2021-10-03,8e-06,9e-06,8e-06,9e-06,9e-06,627602337,,
2021-10-04,9e-06,1.5e-05,8e-06,1.3e-05,1.3e-05,5113996411,,
2021-10-05,1.3e-05,2e-05,1.2e-05,1.7e-05,1.7e-05,9382762020,,
2021-10-06,1.7e-05,2.9e-05,1.7e-05,2.8e-05,2.8e-05,15233960302,,
2021-10-07,2.8e-05,3.5e-05,2.1e-05,2.3e-05,2.3e-05,18731843000,,
2021-10-08,2.3e-05,2.9e-05,2.1e-05,2.7e-05,2.7e-05,12326548369,,
2021-10-09,2.7e-05,3e-05,2.4e-05,2.7e-05,2.7e-05,6401062357,,
