Date,Open,High,Low,Close,Adj Close,Volume,Log RS,Log N
2016-10-12,18.190001,18.190001,17.809999,18.049999,18.049999,23535100,1.3921496532159523,2.302585092994046
2016-10-13,17.860001,17.99,17.67,17.790001,17.790001,18688300,1.4970640083019155,2.3978952727983707
2016-10-14,17.879999,18.049999,16.280001,16.879999,16.879999,73675300,1.6148821618728264,2.4849066497880004
2016-10-17,16.76,16.98,16.43,16.73,16.73,25800600,1.671397469098932,2.5649493574615367
2016-10-18,16.860001,17.129999,16.790001,16.83,16.83,18479800,1.7385883740124988,2.6390573296152584
2016-10-19,16.940001,17.26,16.879999,17.07,17.07,17392400,1.8120225545798927,2.70805020110221
2016-10-20,17.040001,17.07,16.82,16.9,16.9,15124000,1.8828714857230857,2.772588722239781
2016-10-21,16.950001,18.35,16.74,18.09,18.09,58503900,1.9419812177959905,2.833213344056216
2016-10-24,17.6,18.370001,17.49,18.030001,18.030001,41781100,2.0374237439155083,2.8903717578961645
2016-10-25,17.82,17.84,17.15,17.26,17.26,32456200,2.0400425258070007,2.9444389791664403
2016-10-26,17.58,17.66,17.17,17.290001,17.290001,35259300,2.1000378665026935,2.995732273553991
2016-10-27,17.290001,18.120001,17.07,17.4,17.4,63791900,2.15682908126858,3.044522437723423
2016-10-28,17.700001,18.0,17.5,17.66,17.66,29383300,2.1946067609108173,3.091042453358316
2016-10-31,17.65,18.040001,17.639999,17.950001,17.950001,19530500,2.271623272151278,3.1354942159291497
2016-11-01,17.84,18.0,17.26,17.49,17.49,22624800,2.3067613387845496,3.1780538303479458
2016-11-02,17.43,17.950001,17.379999,17.610001,17.610001,20762800,2.3453657371844057,3.2188758248682006
2016-11-03,17.549999,17.860001,17.26,17.58,17.58,17084600,2.3629990469418507,3.258096538021482
2016-11-04,17.52,18.34,17.5,18.02,18.02,30988700,2.4126248639493157,3.295836866004329
2016-11-07,18.110001,18.690001,18.110001,18.41,18.41,26006200,2.4258064049154195,3.332204510175204
2016-11-08,18.219999,18.559999,17.77,18.379999,18.379999,19987500,2.5138596962204836,3.367295829986474
2016-11-09,17.959999,19.24,17.91,19.129999,19.129999,34170200,2.5047956855134217,3.4011973816621555
2016-11-10,19.040001,19.299999,18.030001,18.370001,18.370001,31099100,2.5467089218787438,3.4339872044851463
2016-11-11,18.35,18.73,18.07,18.549999,18.549999,15363800,2.493665499070188,3.4657359027997265
2016-11-14,18.75,19.200001,18.5,19.139999,19.139999,23121300,2.585597872842735,3.4965075614664802
2016-11-15,19.15,19.51,18.91,18.98,18.98,19558000,2.6250883896148145,3.5263605246161616
2016-11-16,18.98,19.15,18.59,18.629999,18.629999,14993300,2.6538501327685666,3.5553480614894135
2016-11-17,18.700001,18.959999,18.530001,18.549999,18.549999,16255700,2.6957785427797547,3.58351893845611
2016-11-18,18.73,18.91,18.639999,18.73,18.73,12503200,2.6670956046287095,3.6109179126442243
2016-11-21,18.719999,18.91,18.59,18.6,18.6,13095600,2.709991435802787,3.6375861597263857
2016-11-22,18.66,18.870001,18.51,18.629999,18.629999,10693400,2.792870638383177,3.6635616461296463
2016-11-23,18.450001,18.59,18.08,18.219999,18.219999,16965900,2.8147880222384805,3.6888794541139363
2016-11-25,18.27,18.309999,18.030001,18.059999,18.059999,7862700,2.8113956639727915,3.713572066704308
2016-11-28,18.0,18.299999,17.85,18.299999,18.299999,19281800,2.8143710242214044,3.7376696182833684
2016-11-29,18.219999,18.68,18.129999,18.190001,18.190001,13549100,2.8799588117396095,3.7612001156935624
2016-11-30,18.200001,18.799999,18.18,18.49,18.49,20605400,2.8969135371840085,3.784189633918261
2016-12-01,18.82,18.83,17.74,18.030001,18.030001,19613000,2.9027991682415,3.8066624897703196
2016-12-02,18.0,18.16,17.860001,17.93,17.93,12208700,2.9358242910638053,3.828641396489095
2016-12-05,17.959999,18.360001,17.870001,18.23,18.23,12121700,2.9557519328397164,3.8501476017100584
2016-12-06,18.309999,18.5,18.129999,18.23,18.23,14033000,2.9567335357834206,3.871201010907891
2016-12-07,18.26,19.549999,18.200001,19.48,19.48,32188600,3.016030122328703,3.8918202981106265
2016-12-08,19.5,19.709999,19.08,19.639999,19.639999,19698300,2.960064281185102,3.912023005428146
2016-12-09,19.559999,19.84,19.379999,19.65,19.65,15956100,3.055357549538501,3.9318256327243257
2016-12-12,19.48,19.700001,18.9,18.93,18.93,15612400,3.0507124859793153,3.9512437185814275
2016-12-13,18.969999,19.59,18.940001,19.370001,19.370001,15132200,3.102078969541417,3.970291913552122
2016-12-14,19.4,19.620001,18.889999,18.93,18.93,13468900,3.0733841680064047,3.9889840465642745
2016-12-15,18.940001,19.15,18.709999,18.790001,18.790001,11957900,3.1010349337364636,4.007333185232471
2016-12-16,18.76,18.889999,18.530001,18.629999,18.629999,14241700,3.15663047121998,4.02535169073515
2016-12-19,18.6,18.700001,18.219999,18.24,18.24,12251100,3.1338620649884947,4.04305126783455
2016-12-20,18.23,18.32,17.870001,17.92,17.92,16801700,3.1506960021403825,4.060443010546419
2016-12-21,17.52,17.549999,17.01,17.08,17.08,34613900,3.203808162209538,4.07753744390572
2016-12-22,16.82,16.889999,16.27,16.41,16.41,27951800,3.20241482663083,4.0943445622221
2016-12-23,16.34,16.67,16.16,16.5,16.5,17971900,3.22495895484039,4.110873864173311
2016-12-27,16.52,16.870001,16.42,16.610001,16.610001,13040500,3.2445541780618976,4.127134385045092
2016-12-28,16.629999,16.73,16.290001,16.389999,16.389999,13509200,3.231668614139221,4.143134726391533
2016-12-29,16.389999,16.65,16.299999,16.389999,16.389999,14697900,3.211470479500029,4.1588830833596715
2016-12-30,16.309999,16.57,16.219999,16.299999,16.299999,14014500,3.2798741221183545,4.174387269895637
2017-01-03,16.309999,16.450001,16.209999,16.440001,16.440001,11147900,3.311415685397165,4.189654742026425
2017-01-04,16.5,16.940001,16.5,16.860001,16.860001,15861300,3.3134351614809043,4.204692619390966
2017-01-05,16.91,17.27,16.799999,17.09,17.09,17074400,3.2930340681568513,4.219507705176107
2017-01-06,17.24,17.43,17.110001,17.17,17.17,14665100,3.332541062568723,4.23410650459726
2017-01-09,17.219999,17.559999,17.190001,17.5,17.5,11918100,3.34151541055881,4.248495242049359
2017-01-10,17.51,17.780001,17.32,17.370001,17.370001,10472800,3.3660185093571067,4.2626798770413155
2017-01-11,17.459999,17.6,17.17,17.299999,17.299999,10981500,3.373565480071166,4.276666119016055
2017-01-12,17.129999,17.389999,16.959999,17.379999,17.379999,12375600,3.3918531451293643,4.290459441148391
2017-01-13,17.379999,17.66,17.23,17.25,17.25,11401400,3.4390262126624336,4.30406509320417
2017-01-17,17.07,17.09,16.860001,16.959999,16.959999,13151100,3.456983824447495,4.31748811353631
2017-01-18,17.01,17.139999,16.83,17.110001,17.110001,12715300,3.449533554626423,4.330733340286331
2017-01-19,17.09,17.15,16.75,16.790001,16.790001,12735500,3.4180118870275162,4.343805421853684
2017-01-20,16.82,16.9,16.459999,16.58,16.58,14844700,3.4182819239070428,4.356708826689592
2017-01-23,16.57,16.809999,16.459999,16.610001,16.610001,11791500,3.4698034769011805,4.3694478524670215
2017-01-24,16.610001,16.66,16.33,16.52,16.52,12737200,3.522596257921489,4.382026634673881
2017-01-25,16.700001,16.790001,16.59,16.73,16.73,10969300,3.535243807602855,4.394449154672439
2017-01-26,16.860001,17.07,16.790001,16.809999,16.809999,10092900,3.5237391960743714,4.406719247264253
2017-01-27,16.91,16.969999,16.530001,16.57,16.57,11860600,3.528925436867162,4.418840607796598
2017-01-30,16.57,17.1,16.41,16.940001,16.940001,18287900,3.503435585572642,4.430816798843313
2017-01-31,16.950001,17.74,16.91,17.620001,17.620001,25869200,3.503937900410286,4.442651256490317
2017-02-01,17.84,17.92,17.1,17.24,17.24,21208100,3.5347380386698037,4.454347296253507
2017-02-02,17.33,17.860001,17.120001,17.780001,17.780001,19415600,3.5498843813152514,4.465908118654584
2017-02-03,17.719999,17.85,17.440001,17.610001,17.610001,14431300,3.5483471443168573,4.477336814478207
2017-02-06,17.700001,17.969999,17.41,17.93,17.93,13226700,3.5885943508832137,4.48863636973214
2017-02-07,18.0,18.67,17.99,18.26,18.26,26834800,3.636773036124301,4.499809670330265
2017-02-08,18.77,18.77,18.049999,18.719999,18.719999,37419100,3.6351143666374357,4.51085950651685
2017-02-09,18.719999,18.719999,16.26,16.41,16.41,109299300,3.640452181546348,4.5217885770490405
2017-02-10,15.96,16.0,15.5,15.58,15.58,73061200,3.672322443850676,4.532599493153256
2017-02-13,15.63,15.99,15.51,15.81,15.81,29143700,3.7004168251254788,4.543294782270004
2017-02-14,15.92,16.6,15.85,16.52,16.52,35090700,3.7103215992153777,4.553876891600541
2017-02-15,16.85,16.889999,16.299999,16.74,16.74,35204800,3.6868784104016403,4.564348191467836
2017-02-16,16.690001,16.790001,16.32,16.35,16.35,21636200,3.6846677864865116,4.574710978503383
2017-02-17,16.360001,16.629999,16.360001,16.620001,16.620001,14378200,3.686487479487554,4.584967478670572
2017-02-21,16.639999,16.690001,16.299999,16.42,16.42,16026800,3.7069211509276565,4.59511985013459
2017-02-22,16.4,16.51,16.01,16.08,16.08,13606200,3.6922594322587976,4.605170185988092
2017-02-23,16.120001,16.27,15.9,16.030001,16.030001,15304500,3.729888810431892,4.61512051684126
2017-02-24,15.95,15.99,15.85,15.98,15.98,9139800,3.7485161926422905,4.624972813284271
2017-02-27,15.93,16.129999,15.72,16.059999,16.059999,13645500,3.7634300422867906,4.634728988229636
2017-02-28,16.0,16.040001,15.74,15.77,15.77,10874200,3.7599579213759857,4.6443908991413725
2017-03-01,15.87,15.9,15.59,15.79,15.79,18165300,3.752247834197901,4.653960350157523
2017-03-02,15.77,16.0,15.72,15.79,15.79,12401100,3.7386215295616796,4.663439094112067
2017-03-03,15.84,16.1,15.68,15.75,15.75,15194500,3.722048186431517,4.672828834461906
2017-03-06,15.75,15.78,15.5,15.56,15.56,11464000,3.677590697614109,4.68213122712422
2017-03-07,15.52,15.73,15.16,15.18,15.18,16718600,3.7261036705464794,4.6913478822291435
2017-03-08,15.19,15.36,15.08,15.24,15.24,12657100,3.736716602856378,4.700480365792417
2017-03-09,15.24,15.39,15.03,15.22,15.22,10963500,3.7782091754857485,4.709530201312334
2017-03-10,15.23,15.27,14.94,15.12,15.12,13703000,3.812465733698899,4.718498871295094
2017-03-13,15.1,15.27,15.1,15.21,15.21,8727500,3.842035654827228,4.727387818712341
2017-03-14,15.2,15.58,15.15,15.32,15.32,15046500,3.8577822180599846,4.736198448394496
2017-03-15,15.25,15.3,14.85,15.03,15.03,19381800,3.8847417657037138,4.74493212836325
2017-03-16,15.08,15.28,15.04,15.19,15.19,11665900,3.900628361829619,4.7535901911063645
2017-03-17,15.2,15.23,15.03,15.08,15.08,10989800,3.9022881903472943,4.762173934797756
2017-03-20,15.11,15.11,14.82,15.09,15.09,12501900,3.8850373563873672,4.770684624465665
2017-03-21,15.08,15.1,14.5,14.54,14.54,19099000,3.848009246184977,4.77912349311153
2017-03-22,14.5,14.99,14.32,14.98,14.98,21050300,3.8226711063756134,4.787491742782046
2017-03-23,14.99,15.05,14.73,14.93,14.93,11631900,3.8624178278603103,4.795790545596741
2017-03-24,15.06,15.37,15.03,15.14,15.14,15549200,3.8532252113058023,4.804021044733257
2017-03-27,15.02,15.06,14.75,14.99,14.99,10461300,3.842735646253584,4.812184355372417
2017-03-28,15.0,15.17,14.8,14.94,14.94,14839700,3.8509767523623535,4.820281565605037
